NP	Time	Ran
32	0.001148	1
32	0.000923	2
32	0.000856	3
32	0.000839	4
32	0.000887	5
32	0.000864	6
32	0.000922	7
32	0.000843	8
32	0.001485	9
32	0.000796	10
